id,sentence,subject_entity,object_entity,label
10,"오라클(구 썬 마이크로시스템즈)에서 제공하는 자바 가상 머신 말고도 각 운영 체제 개발사가 제공하는 자바 가상 머신 및 오픈소스로 개발된 구형 버전의 온전한 자바 VM도 있으며, GNU의 GCJ나 아파치 소프트웨어 재단(ASF: Apache Software Foundation)의 하모니(Harmony)와 같은 아직은 완전하지 않지만 지속적인 오픈 소스 자바 가상 머신도 존재한다.","{'word': '썬 마이크로시스템즈', 'start': 2303, 'end': 2312, 'type': 'COM'}","{'word': '오라클', 'start': 2297, 'end': 2299, 'type': 'COM'}",com:alternative_names
11,"""무에서"" 객체를 생성할 수 있는 체계는 이미 있던 프로토타입을 복제하지 않고 아무것도 없는 상태에서 새로운 객체를 생성할 수 있게 해 준다.","{'word': '프로토타입', 'start': 1452, 'end': 1456, 'type': 'COM'}","{'word': '객체', 'start': 1484, 'end': 1485, 'type': 'COM'}",no_relation
12,"비주얼 스튜디오 팀 서비스(vsts)는 소스 코드 관리(팀 파운데이션 버전 제어 또는 깃), 보고, 요구 사항 관리, 프로젝트 관리 (애자일 소프트웨어 개발), 테스트 및 출시 관리 기능을 제공하는 마이크로소프트의 제품이다.","{'word': '비주얼 스튜디오 팀 서비스', 'start': 5185, 'end': 5198, 'type': 'COM'}","{'word': '보고', 'start': 5237, 'end': 5238, 'type': 'COM'}",com:sub_concept
13,"컴파일되어 만들어진 바이트코드는 특정 하드웨어의 기계 코드를 만드는 컴파일러의 입력으로 사용되거나, 가상 컴퓨터에서 바로 실행된다.","{'word': '바이트코드', 'start': 311, 'end': 315, 'type': 'COM'}","{'word': '컴파일러', 'start': 338, 'end': 341, 'type': 'COM'}",no_relation
14,하스켈을 실제 컴퓨터로 쓸 수 있게 구현한 ‘글래스고 하스켈 컴파일러’와 ‘허그스’가 사실상의 표준 역할을 하면서 하스켈은 지금도 끊임없이 발전하고 있다.,"{'word': '컴파일러', 'start': 736, 'end': 739, 'type': 'COM'}","{'word': '하스켈', 'start': 766, 'end': 768, 'type': 'COM'}",no_relation
15,"어떤 언어들은 하나의 특정한 패러다임을 지원하기도 하는데, 스몰토크와 jdk 1.8 이전의 자바가 객체지향 프로그래밍을 지원하는 반면에, 하스켈과 스킴은 함수형 프로그래밍을 지원한다.","{'word': '함수형 프로그래밍', 'start': 420, 'end': 428, 'type': 'COM'}","{'word': '스킴', 'start': 416, 'end': 417, 'type': 'COM'}",com:sub_concept
16,"첫 공개 자바 버전은 1995년의 자바 1.0이었다. 한 번 쓰고 어느 곳에도 실행 ""Write Once, Run Anywhere""하는 것을 약속하였고 인기 플랫폼에 무료 런타임을 제공하였다. 이 플랫폼은 꽤 안정성을 지녔고 보안 시스템은 여러 설정을 통해 네트워크 및 파일 접근을 통제할 수 있었다. 대부분의 브라우저들은 곧 자바 애플릿(Java Applet)을 웹 페이지 안에서 실행할 수 있었고 자바의 인기는 급상승했다. 자바 2(JDK 1.2 ~ 1.4)의 출현으로 여러 다양한 플랫폼에서 사용할 수 있는 설정(Configuration)들을 만들었다.","{'word': '자바 2', 'start': 1063, 'end': 1066, 'type': 'COM'}","{'word': '자바 1.0', 'start': 843, 'end': 848, 'type': 'COM'}",com:prior_technology
17,"이것은 ""변수""(프로세서 레지스터에 대응될 수도 있다)로부터 시작해서 로고 프로그래밍 언어의 ""거북이"" 위치 같은 것(화면상의 커서부터 시작해서 방바닥 주변에 있는 장치들까지도)까지 어떤 것이든 될 수 있다.","{'word': '프로세서', 'start': 1136, 'end': 1139, 'type': 'COM'}","{'word': '거북이', 'start': 1180, 'end': 1182, 'type': 'POH'}",no_relation
18,"ENVIRONMENT DIVISION은 이를 실행하는 시스템에 의존하는 프로그램 기능을 정의하는데, 이를테면 파일과 문자 집합을 들 수 있다.","{'word': 'ENVIRONMENT DIVISION', 'start': 717, 'end': 736, 'type': 'COM'}","{'word': '프로그램 기능', 'start': 757, 'end': 763, 'type': 'COM'}",com:sub_concept
19,RC(Release Cantidate)를 거쳐 베타 버전을 지나 새로운 제품이 나오고 Express 버전이 나왔다.,"{'word': 'RC', 'start': 4094, 'end': 4095, 'type': 'COM'}","{'word': 'Release Cantidate', 'start': 4097, 'end': 4113, 'type': 'COM'}",com:alternative_names
20,"새로운 타입은 map, 유니코드 문자열, 배열 slice, 그리고 내부 쓰레드 통신을 위한 채널(channel)이 있다.","{'word': '새로운 타입', 'start': 1471, 'end': 1476, 'type': 'COM'}","{'word': 'map', 'start': 1479, 'end': 1481, 'type': 'COM'}",com:sub_concept
21,"비주얼 인터데브와 마이크로소프트 개발자 네트워크의 일부분이 들어 있었다. ""마이크로소프트의 첫 통합 개발 환경이다"".","{'word': '비주얼 인터데브', 'start': 462, 'end': 469, 'type': 'COM'}","{'word': '마이크로소프트 개발자 네트워크', 'start': 472, 'end': 487, 'type': 'COM'}",no_relation
22,익스프레스 에디션의 등장으로 기존과 같은 개별 언어에 대한 제품의 분리 판매는 더 이상 시행하지 않게 되었다.,"{'word': '익스프레스 에디션', 'start': 3452, 'end': 3460, 'type': 'COM'}","{'word': '제품', 'start': 3485, 'end': 3486, 'type': 'POH'}",no_relation
23,람다 대수는 함수를 단순하게 표현할 수 있도록 하여 '함수의 계산'이라는 개념을 더 깊이 이해할 수 있게 돕는다.,"{'word': '함수', 'start': 1237, 'end': 1238, 'type': 'COM'}","{'word': '람다 대수', 'start': 1230, 'end': 1234, 'type': 'COM'}",no_relation
24,"JVM은 자바 플랫폼의 주요한 부분이며 마이크로소프트 윈도우(95/98/NT), 리눅스, 유닉스, OS X 등 대부분의 운영 체제는 물론, 인터넷 익스플로러와 넷스케이프 등과 같은 웹 브라우저 등 여러가지 플랫폼에 설치되어 사용될 수 있으며, 휴대전화나 가전기기에도 설치할 수 있다.","{'word': '유닉스', 'start': 2064, 'end': 2066, 'type': 'COM'}","{'word': '리눅스', 'start': 2059, 'end': 2061, 'type': 'COM'}",com:similar_technology
25,"예를 들어 객체지향 프로그래밍은 프로그래머들이 프로그램을 상호작용하는 객체들의 집합으로 볼 수 있게 하는 반면에, 함수형 프로그래밍은 상태값을 지니지 않는 함수값들의 연속으로 생각할 수 있게 해준다.","{'word': '객체지향 프로그래밍', 'start': 146, 'end': 155, 'type': 'COM'}","{'word': '함수형 프로그래밍', 'start': 204, 'end': 212, 'type': 'COM'}",no_relation
26,"하나는 구글의 셀프 호스팅 컴파일러 툴체인으로서 여러 운영 체제, 모바일 장치, 웹어셈블리를 대상으로 한다.","{'word': '구글', 'start': 234, 'end': 235, 'type': 'ORG'}","{'word': '셀프 호스팅 컴파일러 툴체인', 'start': 238, 'end': 252, 'type': 'COM'}",org:production
27,라이브러리나 프레임워크 내부의 비선언형 부분을 캡슐화하여 이렇게 할 수 있다.,"{'word': '라이브러리', 'start': 811, 'end': 815, 'type': 'COM'}","{'word': '캡슐화', 'start': 837, 'end': 839, 'type': 'COM'}",no_relation
28,"하스켈 98은 교육용이나 확장을 덧붙이는 토대로 쓸 수 있는 안정적이고, 작고, 이식성 좋은 언어 표준을 의도한 결과물로서 표준 라이브러리가 포함되어 있었다.","{'word': '하스켈 98', 'start': 421, 'end': 426, 'type': 'COM'}","{'word': '표준 라이브러리', 'start': 490, 'end': 497, 'type': 'COM'}",com:sub_concept
29,"어떤 언어들은 하나의 특정한 패러다임을 지원하기도 하는데, 스몰토크와 jdk 1.8 이전의 자바가 객체지향 프로그래밍을 지원하는 반면에, 하스켈과 스킴은 함수형 프로그래밍을 지원한다.","{'word': '함수형 프로그래밍', 'start': 420, 'end': 428, 'type': 'COM'}","{'word': '하스켈', 'start': 411, 'end': 413, 'type': 'COM'}",com:sub_concept
30,"예를 들어, 소스 코드를 기계어로 옮긴다면 기계가 이해할 수 없었던 언어를 기계가 이해할 수 있게 개선한 것이 된다.","{'word': '소스 코드', 'start': 1293, 'end': 1297, 'type': 'COM'}","{'word': '기계어', 'start': 1300, 'end': 1302, 'type': 'COM'}",no_relation
31,"제네릭 프로그래밍 기능이 C#, Visual Basic .NET, Visual C++ CLR, Visual J#에 추가되었다.","{'word': 'Visual J#', 'start': 2671, 'end': 2679, 'type': 'COM'}","{'word': '제네릭 프로그래밍', 'start': 2618, 'end': 2626, 'type': 'COM'}",com:sub_concept
32,현재 윈도우 비스타를 위한 특별 업데이트와 함께 공식적으로 비주얼 스튜디오 2005 서비스 팩 1을 사용할 수 있다.,"{'word': '윈도우 비스타', 'start': 2555, 'end': 2561, 'type': 'COM'}","{'word': '비주얼 스튜디오 2005 서비스 팩 1', 'start': 2585, 'end': 2605, 'type': 'COM'}",no_relation
33,고급언어로 작성된 프로그램들을 실행하는 데에는 두 가지 방법이 있다.,"{'word': '프로그램', 'start': 195, 'end': 198, 'type': 'COM'}","{'word': '고급언어', 'start': 185, 'end': 188, 'type': 'COM'}",com:made_of
34,코볼-74는 하부 프로그램들을 추가하여 프로그래머들에게 각 프로그램 부분이 접근할 수 있는 데이터를 제어하는 기능을 제공하였다.,"{'word': '코볼-74', 'start': 914, 'end': 918, 'type': 'COM'}","{'word': '데이터를 제어하는 기능', 'start': 965, 'end': 976, 'type': 'COM'}",com:sub_concept
35,"플러그인 프레임워크를 활용하면, 자바가 아닌 다른 프로그래밍 언어, 예를 들면, C 언어나 파이썬 언어로 이클립스를 확장하는 것이 가능할 뿐 아니라, 이클립스에서 LaTeX와 같은 조판 언어를 활용하거나, 텔넷과 같은 네트워크 응용을 실행하거나, 데이터베이스 관리를 하는 것도 가능하다.","{'word': '프로그래밍 언어', 'start': 1594, 'end': 1601, 'type': 'COM'}","{'word': '파이썬', 'start': 1617, 'end': 1619, 'type': 'COM'}",com:sub_concept
36,2009년 4월 20일 제작사인 썬 마이크로시스템즈가 오라클과 인수 합병됨에 따라 자바에 대한 권리 및 유지보수 또한 오라클로 넘어가게 되었다.,"{'word': '오라클', 'start': 1839, 'end': 1841, 'type': 'ORG'}","{'word': '썬 마이크로시스템즈', 'start': 1827, 'end': 1836, 'type': 'ORG'}",no_relation
37,"몇몇 사람들은 이러한 명령어들을 어셈블러 언어라고 부르며, 어셈블리 언어라고 부르는 사람들도 있다.","{'word': '어셈블리 언어', 'start': 558, 'end': 564, 'type': 'COM'}","{'word': '어셈블러 언어', 'start': 543, 'end': 549, 'type': 'COM'}",com:alternative_names
38,"기업의 설립자 Marc Andreessen은 HTML에 코드를 웹 페이지 마크업으로 직접 작성하면서 웹 디자이너들과 파트타입 프로그래머들이 이미지, 플러그인 등의 요소를 쉽게 조합할 수 있는 글루 언어(glue language)가 필요했다고 믿었다.","{'word': '웹 디자이너', 'start': 1140, 'end': 1145, 'type': 'PER'}","{'word': '플러그인', 'start': 1167, 'end': 1170, 'type': 'COM'}",no_relation
39,/* 이 함수는 러스트의 암묵적 반환문을 이용해 작성되었다.,"{'word': '러스트', 'start': 1800, 'end': 1802, 'type': 'COM'}","{'word': '암묵적 반환문', 'start': 1805, 'end': 1811, 'type': 'COM'}",com:sub_concept
40,"C++나 자바에 있는 기능들 중 타입 상속, 제너릭, 표명(assertion), 메서드 오버로딩, 포인터 연산은 Go에서 포함하고 있지 않다.","{'word': '표명', 'start': 1726, 'end': 1727, 'type': 'COM'}","{'word': 'assertion', 'start': 1729, 'end': 1737, 'type': 'COM'}",com:alternative_names
41,이렇게 그룹은 나누는 것을 세그먼트(SEGMENT) 또는 섹션(SECTION)이라는 단어를 사용한다.,"{'word': '세그먼트(SEGMENT)', 'start': 3111, 'end': 3123, 'type': 'COM'}","{'word': '섹션(SECTION)', 'start': 3128, 'end': 3138, 'type': 'COM'}",com:alternative_names
42,또한 위원회는 하스켈 98의 확장 기능과 더불어 하스켈 98에 실험적인 기능을 덧붙이거나 합친 변형이 만들어지는 것을 열렬히 환영했다.,"{'word': '위원회', 'start': 513, 'end': 515, 'type': 'ORG'}","{'word': '변형', 'start': 563, 'end': 564, 'type': 'POH'}",no_relation
43,"1983년, ""C with Classes""라는 이름은 가상 함수, 함수 이름, 연산자 오버로딩, 참조, 제약조건, type-safe free-store 메모리 할당 (new/delete), 개선된 자료형 검사, BCPL 스타일의 1줄 코멘트(//)를 포함한 새로운 기능들을 추가하면서 ""C++""로 변경되었다.","{'word': 'C++', 'start': 456, 'end': 458, 'type': 'COM'}","{'word': '가상 함수', 'start': 326, 'end': 330, 'type': 'COM'}",com:sub_concept
44,Vsts는 수많은 통합 개발 환경의 백엔드로 쓸 수 있으나 마이크로소프트 비주얼 스튜디오의 백엔드로 사용할 때 최상의 이점을 제공하도록 설계되어 있다.,"{'word': 'Vsts', 'start': 5311, 'end': 5314, 'type': 'COM'}","{'word': '마이크로소프트 비주얼 스튜디오', 'start': 5344, 'end': 5359, 'type': 'COM'}",no_relation
45,"즉, 모든 인스턴스나 메서드는 반드시 특정 클래스의 멤버로 소속되어야 한다.","{'word': '클래스', 'start': 3205, 'end': 3207, 'type': 'COM'}","{'word': '메서드', 'start': 3193, 'end': 3195, 'type': 'COM'}",com:sub_concept
46,다른 예로는 자바 기반 프로젝트의 특정 맥락에서 자바 대신 자바 가상머신 지원 언어를 사용하는 것을 생각해 볼 수 있다.,"{'word': '자바', 'start': 2528, 'end': 2529, 'type': 'COM'}","{'word': '자바 가상머신 지원 언어', 'start': 2534, 'end': 2546, 'type': 'COM'}",com:similar_technology
47,C#은 ISO 소위원회 JTC 1/SC 22에 ISO/IEC 23270:2003으로 제출되었으나 철회 후 ISO/IEC 23270:2006으로 등록되었다.,"{'word': 'C#', 'start': 1552, 'end': 1553, 'type': 'COM'}","{'word': 'ISO/IEC 23270:2006', 'start': 1611, 'end': 1628, 'type': 'COM'}",com:alternative_names
48,"MFC가 처음 도입되었을 때 마이크로소프트는 기본적인 C++ 문법에 메시지 처리, 예외 처리, 런타임 처리, 동적 클래스 객체 생성을 위한 매크로를 추가해 C++ 언어를 확장하려 했다.","{'word': 'C++ 문법', 'start': 935, 'end': 940, 'type': 'COM'}","{'word': '동적 클래스 객체 생성', 'start': 966, 'end': 977, 'type': 'COM'}",com:sub_concept
49,"버전은 15.0으로, 2016년 11월 16일 RC(Release Candidate)버전이 공개되었다.","{'word': 'RC', 'start': 4633, 'end': 4634, 'type': 'COM'}","{'word': 'Release Candidate', 'start': 4636, 'end': 4652, 'type': 'COM'}",com:alternative_names
50,"반면 정적으로 컴파일하는 언어(예시: c 언어)는 실행 전에 무조건 컴파일을 해야하기 때문에 다양한 플랫폼에 맞게 컴파일을 하려면 시간이 오래 걸린다. ""동적 컴파일 환경""은 실행 과정에서 컴파일을 할 수 있기 위해 만들어졌다.","{'word': '정적으로 컴파일하는 언어', 'start': 835, 'end': 847, 'type': 'COM'}","{'word': 'c 언어', 'start': 853, 'end': 856, 'type': 'COM'}",com:sub_concept
51,"람다 대수(λ代數, ) 또는 λ-대수 또는 람다 계산(λ計算) 또는 람다 계산법(λ計算法)은 추상화와 함수 적용 등의 논리 연산을 다루는 형식 체계이다.","{'word': '논리 연산', 'start': 66, 'end': 70, 'type': 'COM'}","{'word': '추상화', 'start': 52, 'end': 54, 'type': 'COM'}",com:sub_concept
52,바이트코드 프로그램은 보통 한 번에 하나의 명령어를 읽은 후 실행한다.,"{'word': '바이트코드 프로그램', 'start': 557, 'end': 566, 'type': 'COM'}","{'word': '명령어', 'start': 581, 'end': 583, 'type': 'COM'}",no_relation
53,구조적 프로그래밍()은 구조화 프로그래밍으로도 불리며 프로그래밍 패러다임의 일종인 절차적 프로그래밍의 하위 개념으로 볼 수 있다.,"{'word': '구조적 프로그래밍', 'start': 0, 'end': 8, 'type': 'COM'}","{'word': '구조화 프로그래밍', 'start': 13, 'end': 21, 'type': 'COM'}",com:alternative_names
54,같은 언어로 옮긴 경우에는 성능이 개선되는 등의 장점이 있어야 한다. 그렇지 않다면 컴파일을 수행할 이유가 없어진다.,"{'word': '언어', 'start': 1355, 'end': 1356, 'type': 'COM'}","{'word': '컴파일', 'start': 1399, 'end': 1401, 'type': 'COM'}",no_relation
55,"자바나 PHP와 같이 기존부터 있던 언어들에는 본래 없던 패러다임이 추가되고, Swift나 Go, Kotlin과 같이 비교적 새로 만들어지는 언어들은 처음부터 여러 패러다임의 지원을 고려하여 설계된다.","{'word': '자바', 'start': 1407, 'end': 1408, 'type': 'COM'}","{'word': 'PHP', 'start': 1411, 'end': 1413, 'type': 'COM'}",com:similar_technology
56,모노나 DotGNU 같은 도구로 MSIL 언어의 프로그램을 실행시킬 수도 있다.,"{'word': '모노', 'start': 1629, 'end': 1630, 'type': 'COM'}","{'word': 'DotGNU', 'start': 1633, 'end': 1638, 'type': 'COM'}",com:similar_technology
57,"존 매카시가 만든 리스프는 훨씬 향상된 함수형 프로그래밍 언어였고, 이것은 현대적 함수형 프로그래밍의 여러 특징을 가지고 있었다.","{'word': '존 매카시', 'start': 1316, 'end': 1320, 'type': 'PER'}","{'word': '리스프', 'start': 1326, 'end': 1328, 'type': 'COM'}",per:production
58,최초의 C++ 상용 구현체는 같은 해 10월에 출시되었다.,"{'word': '최초의 C++ 상용 구현체', 'start': 540, 'end': 553, 'type': 'COM'}","{'word': '같은 해 10월', 'start': 556, 'end': 563, 'type': 'DAT'}",com:date_of_produced
59,많이 쓰이는 특정 분야 선언 언어인 SQL과 lex/Yacc는 특히 가변값을 회피하는데 있어 함수형 언어의 요소들을 사용한다.,"{'word': '특정 분야 선언 언어', 'start': 968, 'end': 978, 'type': 'COM'}","{'word': 'SQL', 'start': 981, 'end': 983, 'type': 'COM'}",com:sub_concept
60,비주얼 J++는 더 이상 새 버전이 나오지 않고 있으며 대신 비주얼 J#이 새롭게 소개되었다. 하지만 비주얼 J#에 대한 비판의 목소리가 매우 높으며 실제 프로젝트에서 채택되어 이용되는 사례는 거의 없는 것으로 보인다.,"{'word': '비주얼 J#', 'start': 1205, 'end': 1210, 'type': 'COM'}","{'word': '비주얼 J++', 'start': 1171, 'end': 1177, 'type': 'COM'}",com:prior_technology
61,"도스는 비디오 카드, 키보드, 마우스, 사운드 장치, 그리고 시스템의 나머지 모든 부분들에 직접 접근을 허용하였던 반면에 윈도우 95는 보호 메모리 모델이 포함되어 이 모든 것들에 대한 접근을 제한하였다.","{'word': '도스', 'start': 1124, 'end': 1125, 'type': 'COM'}","{'word': '마우스', 'start': 1141, 'end': 1143, 'type': 'COM'}",com:sub_concept
62,"두 번째로, 실용적인 면에서, 컴파일러는 입력으로 들어온 프로그램을 어떤 면에서든지 개선해야 한다.","{'word': '컴파일러', 'start': 1247, 'end': 1250, 'type': 'COM'}","{'word': '프로그램', 'start': 1262, 'end': 1265, 'type': 'COM'}",no_relation
63,하스켈 또는 해스켈( )은 순수 함수형 프로그래밍 언어이다.,"{'word': '하스켈', 'start': 0, 'end': 2, 'type': 'COM'}","{'word': '해스켈', 'start': 7, 'end': 9, 'type': 'COM'}",com:alternative_names
64,"마이크로소프트는 프로그래머들을 위한 조속한 솔루션이 필요했는데, 이 운영 체제가 출시되기 수개월 밖에 안 남았기 때문이다.","{'word': '마이크로소프트', 'start': 1239, 'end': 1245, 'type': 'COM'}","{'word': '운영 체제', 'start': 1277, 'end': 1281, 'type': 'COM'}",no_relation
65,"인터프리터(, )는 프로그래밍 언어의 소스 코드를 바로 실행하는 컴퓨터 프로그램 또는 환경을 말한다.","{'word': '환경', 'start': 48, 'end': 49, 'type': 'COM'}","{'word': '인터프리터', 'start': 0, 'end': 4, 'type': 'COM'}",com:sub_concept
66,비주얼 스튜디오 2019의 차기작인 비주얼 스튜디오 2022는 매우 큰 것부터 바뀌었다.,"{'word': '비주얼 스튜디오 2022', 'start': 4940, 'end': 4952, 'type': 'COM'}","{'word': '비주얼 스튜디오 2019', 'start': 4920, 'end': 4932, 'type': 'COM'}",com:prior_technology
67,소프트웨어 개발에 다음과 같은 단계들을 공유한다:,"{'word': '소프트웨어 개발', 'start': 308, 'end': 315, 'type': 'COM'}","{'word': '단계', 'start': 325, 'end': 326, 'type': 'POH'}",no_relation
68,"컴파일러는 입출력되는 언어의 종류, 내부구조, 목적코드의 동작에 따라 여러 가지로 분류할 수 있다.","{'word': '컴파일러', 'start': 1850, 'end': 1853, 'type': 'COM'}","{'word': '언어의 종류', 'start': 1862, 'end': 1867, 'type': 'COM'}",no_relation
69,"JVM은 자바 플랫폼의 주요한 부분이며 마이크로소프트 윈도우(95/98/NT), 리눅스, 유닉스, OS X 등 대부분의 운영 체제는 물론, 인터넷 익스플로러와 넷스케이프 등과 같은 웹 브라우저 등 여러가지 플랫폼에 설치되어 사용될 수 있으며, 휴대전화나 가전기기에도 설치할 수 있다.","{'word': '플랫폼', 'start': 2129, 'end': 2131, 'type': 'COM'}","{'word': '휴대전화', 'start': 2150, 'end': 2153, 'type': 'COM'}",com:sub_concept
70,"프로시저는 루틴, 하위프로그램, 서브루틴, 메서드, 함수(수학적 함수와는 다르고 함수형 프로그래밍에 있는 함수와는 비슷한 의미이다.)라고도 하는데, 간단히 말하여 수행되어야 할 연속적인 계산 과정을 포함하고 있다.","{'word': '프로시저', 'start': 153, 'end': 156, 'type': 'COM'}","{'word': '함수', 'start': 182, 'end': 183, 'type': 'COM'}",com:alternative_names
71,익스프레스 에디션 개발 도구는 설치 후 30일 이내에 개인 사용자 등록을 통하여 받을 수 있는 제품 키를 프로그램에 지정하여 인증하여야 한다.,"{'word': '익스프레스 에디션 개발 도구', 'start': 3372, 'end': 3386, 'type': 'COM'}","{'word': '프로그램', 'start': 3431, 'end': 3434, 'type': 'COM'}",no_relation
72,"람다 대수(λ代數, ) 또는 λ-대수 또는 람다 계산(λ計算) 또는 람다 계산법(λ計算法)은 추상화와 함수 적용 등의 논리 연산을 다루는 형식 체계이다.","{'word': '람다 대수', 'start': 0, 'end': 4, 'type': 'COM'}","{'word': 'λ計算法', 'start': 45, 'end': 48, 'type': 'COM'}",com:alternative_names
73,크고 복잡한 프로그램을 작성할 때 모듈성은 꼭 필요하다.,"{'word': '프로그램', 'start': 437, 'end': 440, 'type': 'COM'}","{'word': '모듈성', 'start': 449, 'end': 451, 'type': 'POH'}",no_relation
74,"자바스크립트는 본래 넷스케이프 커뮤니케이션즈 코퍼레이션의 브렌던 아이크(Brendan Eich)가 처음에는 모카(Mocha)라는 이름으로, 나중에는 라이브스크립트(LiveScript)라는 이름으로 개발하였으며, 최종적으로 자바스크립트가 되었다.","{'word': '자바스크립트', 'start': 271, 'end': 276, 'type': 'COM'}","{'word': '라이브스크립트(LiveScript)', 'start': 230, 'end': 248, 'type': 'COM'}",com:alternative_names
75,"정리에 따르면, 프로그램을 결합하는 3가지 방법인 순차, 분기, 반복만으로 충분히 계산가능 함수를 표현할 수 있다.","{'word': '계산가능 함수', 'start': 1265, 'end': 1271, 'type': 'COM'}","{'word': '순차, 분기, 반복', 'start': 1247, 'end': 1256, 'type': 'COM'}",com:made_of
76,"컴퓨터 과학에서 명령형 프로그래밍(命令型 프로그래밍, )은 선언형 프로그래밍과 반대되는 개념으로, 프로그래밍의 상태와 상태를 변경시키는 구문의 관점에서 연산을 설명하는 프로그래밍 패러다임의 일종이다.","{'word': '프로그래밍 패러다임', 'start': 94, 'end': 103, 'type': 'COM'}","{'word': '명령형 프로그래밍', 'start': 9, 'end': 17, 'type': 'COM'}",com:sub_concept
77,"마이크로소프트에서 MFC가 만들어졌음에도 많은 프로그래머들에게 MFC는 너무 복잡했기 때문에, 마이크로소프트는 상용 소프트웨어 개발에 비주얼 베이직을 쓰라고 권장하였다.","{'word': '마이크로소프트', 'start': 609, 'end': 615, 'type': 'ORG'}","{'word': 'MFC', 'start': 619, 'end': 621, 'type': 'COM'}",org:production
78,"원래의 문서를 소스 코드 혹은 원시 코드라고 부르고, 출력된 문서를 목적 코드라고 부른다.","{'word': '소스 코드', 'start': 166, 'end': 170, 'type': 'COM'}","{'word': '목적 코드', 'start': 196, 'end': 200, 'type': 'COM'}",no_relation
